Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Andhra Pradesh, 01-01-2019,Monthly,5.02,10094618,44.3,Rural
Andhra Pradesh, 01-02-2019,Monthly,5.52,10227710,44.25,Rural
Andhra Pradesh, 01-03-2019,Monthly,4.33,10209930,44.4,Rural
Andhra Pradesh, 01-04-2019,Monthly,4.94,10157772,45.78,Rural
Andhra Pradesh, 01-05-2019,Monthly,4.19,10476197,49.37,Rural
Andhra Pradesh, 01-06-2019,Monthly,5.66,10203625,46.52,Rural
Andhra Pradesh, 01-07-2019,Monthly,4.34,9918255,46.36,Rural
Andhra Pradesh, 01-08-2019,Monthly,4.62,9949376,43.88,Rural
Andhra Pradesh, 01-09-2019,Monthly,4.27,10274745,46.07,Rural
Andhra Pradesh, 01-10-2019,Monthly,5.48,10352703,46.33,Rural
Andhra Pradesh, 01-11-2019,Monthly,4.82,10084893,42.94,Rural
Andhra Pradesh, 01-12-2019,Monthly,5.61,10126635,44.58,Rural
Andhra Pradesh, 01-01-2020,Monthly,5.66,9977217,46.45,Rural
Andhra Pradesh, 01-02-2020,Monthly,5.13,9981589,45.09,Rural
Andhra Pradesh, 01-03-2020,Monthly,5.53,10329341,47.44,Rural
Andhra Pradesh, 01-04-2020,Monthly,27.56,8317817,43.07,Rural
Andhra Pradesh, 01-05-2020,Monthly,19.48,9481200,44.25,Rural
Andhra Pradesh, 01-06-2020,Monthly,14.95,9855995,42.92,Rural
Andhra Pradesh, 01-07-2020,Monthly,8.96,9865986,45.33,Rural
Andhra Pradesh, 01-08-2020,Monthly,13.0,9593568,44.87,Rural
Andhra Pradesh, 01-09-2020,Monthly,9.45,9955226,44.18,Rural
Andhra Pradesh, 01-10-2020,Monthly,6.68,10015809,42.8,Rural
Andhra Pradesh, 01-01-2019,Monthly,6.95,12845840,47.33,Urban
Andhra Pradesh, 01-02-2019,Monthly,6.69,12838431,48.25,Urban
Andhra Pradesh, 01-03-2019,Monthly,6.85,13018824,52.28,Urban
Andhra Pradesh, 01-04-2019,Monthly,7.05,12964616,49.34,Urban
Andhra Pradesh, 01-05-2019,Monthly,5.8,12992780,49.54,Urban
Andhra Pradesh, 01-06-2019,Monthly,8.43,12738016,49.9,Urban
Andhra Pradesh, 01-07-2019,Monthly,6.93,12606611,51.17,Urban
Andhra Pradesh, 01-08-2019,Monthly,7.4,13073799,48.09,Urban
Andhra Pradesh, 01-09-2019,Monthly,7.79,12478671,50.33,Urban
Andhra Pradesh, 01-10-2019,Monthly,8.26,12546852,48.6,Urban
Andhra Pradesh, 01-11-2019,Monthly,7.01,12771895,47.13,Urban
Andhra Pradesh, 01-12-2019,Monthly,6.99,12629173,50.16,Urban
Andhra Pradesh, 01-01-2020,Monthly,6.4,13352691,48.28,Urban
Andhra Pradesh, 01-02-2020,Monthly,6.75,13132506,47.61,Urban
Andhra Pradesh, 01-03-2020,Monthly,7.08,13232742,47.04,Urban
Andhra Pradesh, 01-04-2020,Monthly,23.45,11239411,48.78,Urban
Andhra Pradesh, 01-05-2020,Monthly,27.5,11312725,46.79,Urban
Andhra Pradesh, 01-06-2020,Monthly,20.29,11881859,48.75,Urban
Andhra Pradesh, 01-07-2020,Monthly,10.17,12465614,51.79,Urban
Andhra Pradesh, 01-08-2020,Monthly,13.49,12559655,47.08,Urban
Andhra Pradesh, 01-09-2020,Monthly,9.35,12503491,50.64,Urban
Andhra Pradesh, 01-10-2020,Monthly,10.17,12426948,49.23,Urban
Assam, 01-01-2019,Monthly,8.93,6515168,44.96,Rural
Assam, 01-02-2019,Monthly,8.73,6913507,43.29,Rural
Assam, 01-03-2019,Monthly,7.56,6598882,41.7,Rural
Assam, 01-04-2019,Monthly,8.99,6549580,42.94,Rural
Assam, 01-05-2019,Monthly,8.33,6668814,42.47,Rural
Assam, 01-06-2019,Monthly,8.87,6686020,42.63,Rural
Assam, 01-07-2019,Monthly,7.85,6523856,44.21,Rural
Assam, 01-08-2019,Monthly,8.46,6648859,45.79,Rural
Assam, 01-09-2019,Monthly,8.54,6456493,44.73,Rural
Assam, 01-10-2019,Monthly,8.44,6681730,44.75,Rural
Assam, 01-11-2019,Monthly,7.83,6774513,44.51,Rural
Assam, 01-12-2019,Monthly,8.04,6623544,43.53,Rural
Assam, 01-01-2020,Monthly,8.42,6682355,45.3,Rural
Assam, 01-02-2020,Monthly,8.41,6743068,44.63,Rural
Assam, 01-03-2020,Monthly,8.54,6585759,41.42,Rural
Assam, 01-04-2020,Monthly,23.91,5867220,40.81,Rural
Assam, 01-05-2020,Monthly,29.32,5741285,39.23,Rural
Assam, 01-06-2020,Monthly,16.75,6163268,43.54,Rural
Assam, 01-07-2020,Monthly,12.98,6395085,43.43,Rural
Assam, 01-08-2020,Monthly,11.07,6463732,41.66,Rural
Assam, 01-09-2020,Monthly,11.84,6532157,42.78,Rural
Assam, 01-10-2020,Monthly,10.64,6389986,44.13,Rural
Assam, 01-01-2019,Monthly,10.71,4629396,42.35,Urban
Assam, 01-02-2019,Monthly,10.2,4521933,43.17,Urban
Assam, 01-03-2019,Monthly,11.46,4565214,42.25,Urban
Assam, 01-04-2019,Monthly,10.96,4736208,45.69,Urban
Assam, 01-05-2019,Monthly,9.49,4541627,46.05,Urban
Assam, 01-06-2019,Monthly,9.98,4612413,45.31,Urban
Assam, 01-07-2019,Monthly,9.85,4570222,39.28,Urban
Assam, 01-08-2019,Monthly,9.79,4554254,42.27,Urban
Assam, 01-09-2019,Monthly,11.38,4401268,43.49,Urban
