name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Toyota Etios 2022,2022,18.8,26873.0,petrol,Trustmark Dealer,Automatic,First Owner
Ford Endeavour 2020,2020,5.93,24400.0,petrol,Individual,Manual,First Owner
Ford Figo 2009,2009,1.5,220000.0,Diesel,Individual,Manual,First Owner
Volkswagen Vento 2018,2018,4.68,92068.0,diesel,Trustmark Dealer,Manual,First Owner
Maruti Swift 2018,2018,2.37,94232.0,LPG,Individual,Manual,First Owner
Honda WR-V 2018,2018,6.19,60676.0,diesel,Individual,Manual,First Owner
Maruti Wagon R 2017,2017,2.38,82869.0,Petrol,Dealer,Manual,Third Owner
Mahindra XUV300 2019,2019,5.82,64288.0,CNG,Dealer,Manual,First Owner
Skoda Octavia 2014,2014,4.09,127563.0,petrol,Individual,Manual,First Owner
Maruti Alto 2009,2009,1.19,197601.0,PETROL,Dealer,Automatic,Second Owner
Toyota Etios 2016,2016,7.3,117970.0,Petrol,Individual,Manual,First Owner
Hyundai Verna 2009,2009,1.32,212671.0,petrol,Individual,Manual,First Owner
Tata Altroz 2011,2011,1.35,184237.0,Diesel,Dealer,Manual,First Owner
Hyundai Creta 2017,2017,3.54,96879.0,Diesel,Dealer,Manual,Fourth & Above Owner
Toyota Fortuner 2009,2009,3.14,216158.0,Petrol,Individual,Manual,First Owner
Renault Triber 2014,2014,1.55,134217.0,Petrol,Individual,Manual,First Owner
Honda Amaze 2007,2007,1.36,220000.0,PETROL,Trustmark Dealer,Manual,Second Owner
Volkswagen Polo 2010,2010,1.66,196664.0,petrol,Dealer,Manual,First Owner
Renault Triber 2012,2012,1.1,169233.0,petrol,Individual,Manual,Second Owner
Renault Triber 2010,2010,0.78,200915.0,petrol,Individual,Manual,First Owner
Volkswagen Polo 2010,2010,1.64,220000.0,PETROL,Individual,Manual,First Owner
Volkswagen Taigun 2013,2013,2.25,177303.0,Diesel,Dealer,Manual,First Owner
Mahindra Scorpio 2021,2021,7.56,49765.0,PETROL,Trustmark Dealer,Manual,First Owner
Honda City 2012,2012,1.91,165638.0,diesel,Individual,Manual,Third Owner
Tata Harrier 2016,2016,3.0,98871.0,Petrol,Individual,Automatic,Second Owner
Mahindra XUV500 2012,2012,3.16,173949.0,Petrol,Dealer,Automatic,First Owner
Maruti Alto 2018,2018,2.94,83439.0,Diesel,Dealer,Manual,Third Owner
Maruti Baleno 2009,2009,0.92,213895.0,Diesel,Individual,Manual,Second Owner
Maruti Alto 2013,2013,1.79,148664.0,Petrol,Dealer,Manual,First Owner
Hyundai i20 2008,2008,1.23,220000.0,petrol,Individual,Manual,First Owner
Hyundai Venue 2008,2008,1.35,220000.0,petrol,Dealer,Manual,First Owner
Volkswagen Taigun 2007,2007,1.28,220000.0,petrol,Individual,Manual,First Owner
Skoda Kushaq 2022,2022,10.94,23220.0,Diesel,Dealer,Manual,First Owner
Maruti Wagon R 2008,2008,0.86,220000.0,PETROL,Individual,Manual,Second Owner
Toyota Fortuner 2018,2018,10.85,79957.0,diesel,Dealer,Manual,First Owner
Toyota Glanza 2018,2018,9.78,80368.0,PETROL,Dealer,Automatic,Third Owner
Skoda Rapid 2015,2015,5.13,118039.0,Diesel,Dealer,Automatic,First Owner
Skoda Octavia 2015,2015,3.91,116217.0,PETROL,Individual,Manual,Third Owner
Renault Kwid 2012,2012,0.89,189623.0,Petrol,Individual,Manual,Second Owner
Mahindra XUV300 2017,2017,5.71,80230.0,PETROL,Dealer,Manual,First Owner
Tata Altroz 2021,2021,4.47,25679.0,PETROL,Individual,Manual,First Owner
Toyota Etios 2007,2007,2.82,220000.0,petrol,Individual,Automatic,Second Owner
Maruti Swift 2012,2012,1.33,177257.0,diesel,Dealer,Manual,First Owner
Toyota Glanza 2011,2011,2.91,215601.0,Diesel,Dealer,Manual,Third Owner
Maruti Dzire 2017,2017,3.61,88477.0,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio 2009,2009,1.71,220000.0,petrol,Dealer,Manual,Second Owner
Volkswagen Vento 2012,2012,1.92,177528.0,Diesel,Individual,Manual,Second Owner
Maruti Alto 2018,2018,3.23,74675.0,Petrol,Individual,Manual,First Owner
Ford EcoSport 2014,2014,2.56,128038.0,Petrol,Individual,Manual,First Owner
Tata Altroz 2010,2010,1.31,187472.0,PETROL,Individual,Manual,First Owner
Tata Altroz 2019,2019,3.42,34126.0,petrol,Dealer,Manual,Third Owner
Volkswagen Polo 2016,2016,3.23,114148.0,Petrol,Trustmark Dealer,Manual,Second Owner
Renault Kwid 2019,2019,2.82,71084.0,Diesel,Dealer,Manual,First Owner
Maruti Wagon R 2009,2009,0.71,219549.0,Petrol,Dealer,Manual,Third Owner
Mahindra XUV300 2012,2012,2.37,184968.0,Diesel,Dealer,Manual,Third Owner
Honda Jazz 2014,2014,3.01,159308.0,Diesel,Dealer,Manual,Second Owner
Hyundai Creta 2011,2011,1.67,199802.0,diesel,Dealer,Manual,First Owner
Hyundai Venue 2012,2012,1.76,165181.0,Petrol,Dealer,Manual,First Owner
Mahindra XUV300 2011,2011,1.8,201576.0,Petrol,Individual,Manual,Third Owner
Toyota Innova 2021,2021,12.45,40037.0,Diesel,Individual,Manual,Second Owner
Hyundai i20 2020,2020,5.21,59418.0,Petrol,Dealer,Manual,Second Owner
Hyundai i20 2007,2007,1.18,220000.0,diesel,Individual,Manual,First Owner
Skoda Kushaq 2014,2014,3.91,153295.0,diesel,Individual,Manual,Second Owner
Skoda Kushaq 2014,2014,4.18,149574.0,cng,Dealer,Automatic,First Owner
Maruti Alto 2022,2022,5.28,22891.0,petrol,Dealer,Manual,First Owner
Hyundai Venue 2011,2011,1.37,180797.0,CNG,Dealer,Manual,First Owner
Mahindra XUV300 2016,2016,5.16,122913.0,petrol,Trustmark Dealer,Automatic,First Owner
Honda Amaze 2016,2016,2.58,133612.0,LPG,Individual,Manual,Third Owner
Mahindra Bolero 2019,2019,5.14,77495.0,cng,Trustmark Dealer,Manual,First Owner
Skoda Octavia 2015,2015,4.62,131263.0,diesel,Trustmark Dealer,Manual,First Owner
Maruti Swift 2009,2009,1.14,220000.0,diesel,Trustmark Dealer,Manual,First Owner
Skoda Rapid 2013,2013,2.85,168656.0,Petrol,Dealer,Manual,Second Owner
Ford Endeavour 2014,2014,3.07,128823.0,diesel,Dealer,Manual,First Owner
Volkswagen Vento 2010,2010,1.75,207522.0,PETROL,Dealer,Automatic,First Owner
Toyota Etios 2012,2012,4.33,174258.0,petrol,Individual,Manual,First Owner
Honda Amaze 2010,2010,1.83,200729.0,Petrol,Dealer,Manual,First Owner
